arm,region,model,rows,classes_present,macro_f1,present_class_macro_f1,accuracy
designed,1,global,2156705,10,0.6620512786537761,0.6620512786537761,0.9171194020508137
designed,1,e1,2156705,10,0.6922816515753146,0.6922816515753146,0.9169265152164993
designed,1,e2,2156705,10,0.6891067105588452,0.6891067105588452,0.9117890485717797
designed,1,e3,2156705,10,0.6795323789919061,0.6795323789919061,0.9146294926751688
designed,1,e4,2156705,10,0.6203723236097571,0.6203723236097571,0.8503685019508926
designed,1,region_constant,2156705,10,0.025619632239149665,0.025619632239149665,0.14691809960101174
designed,2,global,8154,9,0.17577504815428954,0.1953056090603217,0.28121167525141033
designed,2,e1,8154,9,0.3418610420367232,0.37984560226302577,0.6469217561932794
designed,2,e2,8154,9,0.25457079446617914,0.28285643829575463,0.7295805739514348
designed,2,e3,8154,9,0.28833245458333395,0.3203693939814822,0.693402011282806
designed,2,e4,8154,9,0.26286631556211965,0.2920736839579107,0.6900907530046603
designed,2,region_constant,8154,9,0.074030588598795,0.08225620955421667,0.5876870247731175
designed,3,global,13026,4,0.05140744050024605,0.12851860125061512,0.2815138952863504
designed,3,e1,13026,4,0.055761522589698444,0.1394038064742461,0.28350990327038234
designed,3,e2,13026,4,0.012770153424359321,0.0319253835608983,0.052203285736219865
designed,3,e3,13026,4,0.051563547956033295,0.12890886989008324,0.282435129740519
designed,3,e4,13026,4,0.05152053638799894,0.12880134096999735,0.28205128205128205
designed,3,region_constant,13026,4,0.009449970743124635,0.023624926857811587,0.049593121449408875
designed,4,global,93838,9,0.26148818224580184,0.2905424247175576,0.5902406274643535
designed,4,e1,93838,9,0.2376750374433308,0.2640833749370342,0.3945523135616701
designed,4,e2,93838,9,0.18837341691143258,0.20930379656825843,0.26963490270466123
designed,4,e3,93838,9,0.27438531300059327,0.3048725700006592,0.5786035508003154
designed,4,e4,93838,9,0.16417230515189823,0.18241367239099804,0.2061957842238752
designed,4,region_constant,93838,9,0.04426003684463844,0.049177818716264934,0.2841919051983205
